# The fit parameters to the true data
# tau (ms), mu (m/s), umu (m/s), std (m/s), ustd (m/s), reduced chi 2
0.08, 1.8053319985979321, 0.36017462157238755, 11.861364533663426, 0.14625910407394482, 0.14950977236713597
0.09, -0.3837186657781925, 0.1757394277767839, 11.084537468735366, 0.08078402739265207, 0.04013377365671624
0.10, 0.8974796606405243, 0.2005072798267819, 9.833223243834164, 0.09113544594234518, 0.06721708978824975
0.20, -0.6503816002798063, 0.16038690974867073, 4.297465649253342, 0.07214825757249972, 0.15196336420772286
0.30, -0.08812806359928706, 0.09020565039019952, 3.2107200321569307, 0.04327991095185319, 0.10300026060857725
0.40, 0.03024171246257209, 0.06936713221029374, 2.3434335470100267, 0.03313634933968579, 0.09468375074512861
0.50, 0.19469765381876658, 0.05683872277610075, 2.097311305668646, 0.03421419386307703, 0.07876565983518503
0.60, 0.052637814355005696, 0.05246897096384331, 1.555980562603312, 0.03013416022535461, 0.12136824162097028
0.70, 0.057954482481282606, 0.04902449096030787, 1.2214059801293897, 0.028391423938288328, 0.15062637180550903
0.80, -0.14779471763153432, 0.044465584657087706, 1.1655705988461456, 0.029579908650827443, 0.1318327558345073
0.90, 0.10498883791554967, 0.05117838383194265, 1.1947486715865177, 0.03727125531989261, 0.17740165462024265
1.00, 0.004997920057059074, 0.035027531704212654, 0.9677348044834702, 0.022681187364124767, 0.11938200706565746
1.10, -0.11872488155800477, 0.038624530271378826, 0.9954256225153808, 0.02503351860259509, 0.12166155689980727
1.20, -0.15267444771153577, 0.03322386129722928, 0.7740814195887442, 0.02185399219986709, 0.13971187750572528
