# The fit parameters to the track data using the Spline method
# tau (ms), mu (m/s), umu (m/s), std (m/s), ustd (m/s), reduced chi 2
0.08, -0.035276226103997894, 0.03387690602092933, 0.985646283657797, 0.016291916638861738, 0.06307595770421374
0.09, 0.01373695205876644, 0.023052488053584886, 0.7630953051645992, 0.01038973781201414, 0.058520747379419084
0.10, -0.026366855623027416, 0.03338184808594015, 0.9576618196735185, 0.015537734560379565, 0.09987147794756994
0.20, 0.03503700929896374, 0.0032956210761400594, 0.2563302857863639, 0.0013614999486613578, 0.006374717340547734
0.30, -0.0070639613497938914, 0.004715911559235607, 0.1485119245291328, 0.0018003525356843338, 0.062311308181348175
0.40, -0.002438792807248268, 0.002536642952863902, 0.12189409075274157, 0.0013145849313608647, 0.017977810919075236
0.50, 0.0016672128924848824, 0.002133163147446297, 0.0836145354930341, 0.0011801810101647232, 0.029806967904439076
0.60, -0.009246707935269794, 0.0016759283225562854, 0.05806656745941841, 0.0007654650023897548, 0.03228278193818902
0.70, 0.0010003163641631473, 0.0007301454225252981, 0.046971722239537245, 0.0003314553214899954, 0.008672728499985643
0.80, 0.00022104696583009198, 0.0013393940332545003, 0.04550507171712975, 0.0006227155150965843, 0.053472103396388054
0.90, -0.0048546911773026755, 0.0012751487905925372, 0.035694433619198544, 0.0006978137361906529, 0.048660070893888456
1.00, 0.0020937798196873116, 0.0010412977786430474, 0.03329649452360968, 0.0005348048148861787, 0.05491687692821825
1.10, -0.004342311941075961, 0.0009683863138768583, 0.03304537759336749, 0.0005417651185824721, 0.05052339473645572
1.20, -0.00032072056503997535, 0.0007926875715534709, 0.03481313368157583, 0.0006054543313638963, 0.015801690750249727
